code,label,tier,status,issue_type,issue_date,activation_date,redemption_date,expiration_date,recipient_name,company,contact_info,payment_method,payment_amount,receipt_path,notes,customer_facing_only,owner_aegis_excluded
HERMES-7-001,7-Day Free Trial 1,TRIAL_7_DAY,ACTIVE,GENERATED,2026-06-17T21:30:44.009363,2026-06-17T21:35:41.119442,,,,,,,,,,True,True
HERMES-7-002,7-Day Free Trial 2,TRIAL_7_DAY,ACTIVE,GENERATED,2026-06-17T21:30:44.017965,2026-06-17T21:36:01.023434,,,,,,,,,,True,True
HERMES-7-003,7-Day Free Trial 3,TRIAL_7_DAY,ACTIVE,GENERATED,2026-06-17T21:30:44.019964,2026-06-17T21:36:01.030006,,,,,,,,,,True,True
HERMES-7-004,7-Day Free Trial 4,TRIAL_7_DAY,ACTIVE,GENERATED,2026-06-17T21:30:44.022480,2026-06-17T21:36:01.036579,,,,,,,,,,True,True
HERMES-7-005,7-Day Free Trial 5,TRIAL_7_DAY,ACTIVE,GENERATED,2026-06-17T21:30:44.024483,2026-06-17T21:36:01.042627,,,,,,,,,,True,True
HERMES-7-006,7-Day Free Trial 6,TRIAL_7_DAY,ACTIVE,GENERATED,2026-06-17T21:30:44.026493,2026-06-17T21:36:01.048172,,,,,,,,,,True,True
HERMES-7-007,7-Day Free Trial 7,TRIAL_7_DAY,ACTIVE,GENERATED,2026-06-17T21:30:44.028526,2026-06-17T21:36:01.054252,,,,,,,,,,True,True
HERMES-7-008,7-Day Free Trial 8,TRIAL_7_DAY,ACTIVE,GENERATED,2026-06-17T21:30:44.031064,2026-06-17T21:36:01.060318,,,,,,,,,,True,True
HERMES-7-009,7-Day Free Trial 9,TRIAL_7_DAY,ACTIVE,GENERATED,2026-06-17T21:30:44.033095,2026-06-17T21:36:01.066545,,,,,,,,,,True,True
HERMES-7-010,7-Day Free Trial 10,TRIAL_7_DAY,ACTIVE,GENERATED,2026-06-17T21:30:44.034615,2026-06-17T21:36:01.077389,,,,,,,,,,True,True
HERMES-7-011,7-Day Free Trial 11,TRIAL_7_DAY,ACTIVE,GENERATED,2026-06-17T21:30:44.037122,2026-06-17T21:36:01.083750,,,,,,,,,,True,True
HERMES-7-012,7-Day Free Trial 12,TRIAL_7_DAY,ACTIVE,GENERATED,2026-06-17T21:30:44.040666,2026-06-17T21:36:01.089319,,,,,,,,,,True,True
HERMES-7-013,7-Day Free Trial 13,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.043545,,,,,,,,,,,True,True
HERMES-7-014,7-Day Free Trial 14,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.046003,,,,,,,,,,,True,True
HERMES-7-015,7-Day Free Trial 15,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.048528,,,,,,,,,,,True,True
HERMES-7-016,7-Day Free Trial 16,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.050563,,,,,,,,,,,True,True
HERMES-7-017,7-Day Free Trial 17,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.053610,,,,,,,,,,,True,True
HERMES-7-018,7-Day Free Trial 18,TRIAL_7_DAY,INACTIVE,GENERATED,2026-06-17T21:30:44.057481,,,,,,,,,,,True,True
